Elapsed Time: 81.16 seconds | Position: x=0.60, y=6.43
Elapsed Time: 81.73 seconds | Position: x=0.54, y=6.58
Elapsed Time: 81.73 seconds | Position: x=0.49, y=6.71
Elapsed Time: 81.93 seconds | Position: x=0.46, y=6.82
Elapsed Time: 82.14 seconds | Position: x=0.42, y=6.94
Elapsed Time: 82.33 seconds | Position: x=0.39, y=7.03
Elapsed Time: 82.63 seconds | Position: x=0.36, y=7.14
Elapsed Time: 82.83 seconds | Position: x=0.32, y=7.26
Elapsed Time: 83.04 seconds | Position: x=0.28, y=7.36
Elapsed Time: 83.33 seconds | Position: x=0.25, y=7.46
Elapsed Time: 83.87 seconds | Position: x=0.25, y=7.54
Elapsed Time: 83.87 seconds | Position: x=0.18, y=7.66
Elapsed Time: 84.03 seconds | Position: x=0.15, y=7.77
Elapsed Time: 84.26 seconds | Position: x=0.11, y=7.87
Elapsed Time: 84.53 seconds | Position: x=0.07, y=7.98
Elapsed Time: 84.73 seconds | Position: x=0.03, y=8.11
Elapsed Time: 84.94 seconds | Position: x=-0.02, y=8.22
Elapsed Time: 85.23 seconds | Position: x=-0.05, y=8.32
Elapsed Time: 85.42 seconds | Position: x=-0.08, y=8.43
Elapsed Time: 85.96 seconds | Position: x=-0.13, y=8.55
Elapsed Time: 85.96 seconds | Position: x=-0.17, y=8.66
Elapsed Time: 86.12 seconds | Position: x=-0.23, y=8.75
Elapsed Time: 86.43 seconds | Position: x=-0.28, y=8.86
Elapsed Time: 86.63 seconds | Position: x=-0.32, y=8.99
Elapsed Time: 86.84 seconds | Position: x=-0.37, y=9.10
Elapsed Time: 87.13 seconds | Position: x=-0.41, y=9.22
Elapsed Time: 87.33 seconds | Position: x=-0.45, y=9.34
Elapsed Time: 87.55 seconds | Position: x=-0.49, y=9.47
Elapsed Time: 88.16 seconds | Position: x=-0.52, y=9.59
Elapsed Time: 88.16 seconds | Position: x=-0.57, y=9.71
Elapsed Time: 88.26 seconds | Position: x=-0.61, y=9.83
Elapsed Time: 88.54 seconds | Position: x=-0.66, y=9.96
Elapsed Time: 88.73 seconds | Position: x=-0.69, y=10.07
Elapsed Time: 89.03 seconds | Position: x=-0.73, y=10.19
Elapsed Time: 89.24 seconds | Position: x=-0.76, y=10.29
Elapsed Time: 89.44 seconds | Position: x=-0.76, y=10.33
Elapsed Time: 89.73 seconds | Position: x=-0.80, y=10.45
Elapsed Time: 90.24 seconds | Position: x=-0.83, y=10.54
Elapsed Time: 90.25 seconds | Position: x=-0.86, y=10.67
Elapsed Time: 90.44 seconds | Position: x=-0.91, y=10.79
Elapsed Time: 90.64 seconds | Position: x=-0.95, y=10.89
Elapsed Time: 90.85 seconds | Position: x=-0.99, y=11.01
Elapsed Time: 91.14 seconds | Position: x=-1.04, y=11.13
Elapsed Time: 91.33 seconds | Position: x=-1.09, y=11.23
Elapsed Time: 91.64 seconds | Position: x=-1.14, y=11.34
Elapsed Time: 91.84 seconds | Position: x=-1.18, y=11.45
Elapsed Time: 92.38 seconds | Position: x=-1.24, y=11.57
Elapsed Time: 92.39 seconds | Position: x=-1.28, y=11.69
Elapsed Time: 92.55 seconds | Position: x=-1.32, y=11.81
Elapsed Time: 92.75 seconds | Position: x=-1.37, y=11.93
Elapsed Time: 93.03 seconds | Position: x=-1.42, y=12.05
Elapsed Time: 93.24 seconds | Position: x=-1.48, y=12.17
Elapsed Time: 93.46 seconds | Position: x=-1.53, y=12.28
Elapsed Time: 93.75 seconds | Position: x=-1.59, y=12.41
Elapsed Time: 93.94 seconds | Position: x=-1.64, y=12.55
Elapsed Time: 94.46 seconds | Position: x=-1.70, y=12.67
Elapsed Time: 94.46 seconds | Position: x=-1.75, y=12.78
Elapsed Time: 94.64 seconds | Position: x=-1.79, y=12.88
Elapsed Time: 94.94 seconds | Position: x=-1.83, y=13.00
Elapsed Time: 95.13 seconds | Position: x=-1.87, y=13.10
Elapsed Time: 95.35 seconds | Position: x=-1.91, y=13.19
Elapsed Time: 95.64 seconds | Position: x=-1.95, y=13.29
Elapsed Time: 95.84 seconds | Position: x=-2.00, y=13.40
Elapsed Time: 96.06 seconds | Position: x=-2.05, y=13.52
Elapsed Time: 96.65 seconds | Position: x=-2.10, y=13.62
Elapsed Time: 96.66 seconds | Position: x=-2.15, y=13.74
Elapsed Time: 96.84 seconds | Position: x=-2.20, y=13.84
Elapsed Time: 97.04 seconds | Position: x=-2.24, y=13.94
Elapsed Time: 97.25 seconds | Position: x=-2.29, y=14.06
Elapsed Time: 97.54 seconds | Position: x=-2.34, y=14.17
Elapsed Time: 97.74 seconds | Position: x=-2.39, y=14.27
Elapsed Time: 97.97 seconds | Position: x=-2.43, y=14.38
Elapsed Time: 98.25 seconds | Position: x=-2.48, y=14.48
Elapsed Time: 98.75 seconds | Position: x=-2.53, y=14.59
Elapsed Time: 98.75 seconds | Position: x=-2.59, y=14.70
Elapsed Time: 98.94 seconds | Position: x=-2.64, y=14.81
Elapsed Time: 99.14 seconds | Position: x=-2.69, y=14.95
Elapsed Time: 99.44 seconds | Position: x=-2.74, y=15.07
Elapsed Time: 99.64 seconds | Position: x=-2.79, y=15.19
Elapsed Time: 99.85 seconds | Position: x=-2.84, y=15.31
Elapsed Time: 100.15 seconds | Position: x=-2.89, y=15.41
Elapsed Time: 100.35 seconds | Position: x=-2.94, y=15.52
Elapsed Time: 100.85 seconds | Position: x=-2.99, y=15.62
Elapsed Time: 100.86 seconds | Position: x=-3.04, y=15.73
Elapsed Time: 101.05 seconds | Position: x=-3.09, y=15.83
Elapsed Time: 101.34 seconds | Position: x=-3.14, y=15.93
Elapsed Time: 101.54 seconds | Position: x=-3.19, y=16.02
Elapsed Time: 101.75 seconds | Position: x=-3.24, y=16.11
Elapsed Time: 102.03 seconds | Position: x=-3.30, y=16.21
