Elapsed Time: 60.60 seconds | Position: x=0.97, y=2.68
Elapsed Time: 60.84 seconds | Position: x=1.02, y=2.77
Elapsed Time: 61.12 seconds | Position: x=1.06, y=2.88
Elapsed Time: 61.64 seconds | Position: x=1.09, y=2.99
Elapsed Time: 61.64 seconds | Position: x=1.13, y=3.11
Elapsed Time: 61.81 seconds | Position: x=1.14, y=3.23
Elapsed Time: 62.01 seconds | Position: x=1.16, y=3.34
Elapsed Time: 62.31 seconds | Position: x=1.17, y=3.46
Elapsed Time: 62.51 seconds | Position: x=1.20, y=3.54
Elapsed Time: 62.72 seconds | Position: x=1.21, y=3.66
Elapsed Time: 63.01 seconds | Position: x=1.25, y=3.77
Elapsed Time: 63.20 seconds | Position: x=1.28, y=3.90
Elapsed Time: 63.72 seconds | Position: x=1.32, y=3.99
Elapsed Time: 63.73 seconds | Position: x=1.35, y=4.10
Elapsed Time: 63.90 seconds | Position: x=1.38, y=4.21
Elapsed Time: 64.16 seconds | Position: x=1.40, y=4.31
Elapsed Time: 64.41 seconds | Position: x=1.43, y=4.41
Elapsed Time: 64.61 seconds | Position: x=1.46, y=4.52
Elapsed Time: 64.91 seconds | Position: x=1.48, y=4.63
Elapsed Time: 65.12 seconds | Position: x=1.50, y=4.76
Elapsed Time: 65.31 seconds | Position: x=1.52, y=4.88
Elapsed Time: 65.84 seconds | Position: x=1.53, y=4.98
Elapsed Time: 65.85 seconds | Position: x=1.53, y=5.09
Elapsed Time: 66.02 seconds | Position: x=1.54, y=5.19
Elapsed Time: 66.41 seconds | Position: x=1.53, y=5.30
Elapsed Time: 66.73 seconds | Position: x=1.50, y=5.41
Elapsed Time: 67.21 seconds | Position: x=1.48, y=5.52
Elapsed Time: 67.97 seconds | Position: x=1.43, y=5.63
